'show_id','type','title','director','cast','country','date_added','release_year','rating','duration','listed_in','description'
('s74','Movie','18 Presents','Francesco Amato',"'Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli'",'Italy',43959,2020,'TV-MA','114 min',"'Dramas, Independent Movies, International Movies'",'A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.')
('s107','Movie','365 Days',"'Barbara Białowąs, Tomasz Mandes'","'Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski'",'Poland',43989,2020,'TV-MA','114 min',"'Dramas, International Movies, Romantic Movies'","'A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.')"
('s108','Movie','37 Seconds','Hikari',"'Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi'",'Japan',43861,2020,'TV-MA','116 min',"'Dramas, International Movies'","'Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.')"
('s142','TV Show','7SEEDS',,###############################################################################################################################################################################################################################################################,,43916,2020,'TV-MA','2 Seasons',"'Anime Series, International TV Shows'","'Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.')"
('s148','Movie','A Babysitter's Guide to Monster Hunting','Rachel Talalay',"'Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough'",'United States',44119,2020,'TV-PG','99 min','Children & Family Movies',"'Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.')"
('s155','Movie','A California Christmas','Shaun Paul Piccinino',"'Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer'",'United States',44179,2020,'PG-13','107 min',"'Comedies, Romantic Movies'","'With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas.')"
('s158','Movie','A Choo',"'Kevin Ko, Peter Tsi'","'Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui'",'Taiwan',44118,2020,'TV-14','101 min',"'Action & Adventure, International Movies, Romantic Movies'","'Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain.')"
('s169','Movie','A Fall from Grace','Tyler Perry',"'Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry'",'United States',43847,2020,'TV-MA','121 min',"'Dramas, Thrillers'","'When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.')"
('s178','Movie','A Go! Go! Cory Carson Christmas',"'Stanley Moore, Alex Woo'","'Alan C. Lim, Taron C. Hensley, Maisie Benson, Kerry Gudjohnsen, Paul Killam, Smith Foreman, Ann Kendrick, Ella Joy Ballesteros, Neena-Sinaii Simpo, Eli Morse'",'United States',44162,2020,'TV-Y','22 min','Children & Family Movies',"'When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone.')"
('s179','Movie','A Go! Go! Cory Carson Halloween',"'Alex Woo, Stanley Moore'","'Alan C. Lim, Smith Foreman, Maisie Benson, Ann Kendrick, Kerry Gudjohnsen, Paul Killam, Stanley Moore, Tyler Hendrix, Ella Joy Ballesteros, Jimmy Olea'",,44106,2020,'TV-Y','22 min','Children & Family Movies',"'Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?')"
